Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 10, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 11, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 12, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 13, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 14, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 15, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 16, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 17, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 18, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 10, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 11, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 10, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
Fed Id: 1634887529, Round - 7, Clients Trained: [8082], Accuracy: 0.6808
Fed Id: 1634887529, Round - 8, Clients Trained: [8082], Accuracy: 0.6931
Fed Id: 1634887529, Round - 9, Clients Trained: [8082], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8082], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8082], Accuracy: 0.6243
Fed Id: 1634887529, Round - 2, Clients Trained: [8082], Accuracy: 0.6413
Fed Id: 1634887529, Round - 3, Clients Trained: [8082], Accuracy: 0.6459
Fed Id: 1634887529, Round - 4, Clients Trained: [8082], Accuracy: 0.6608
Fed Id: 1634887529, Round - 5, Clients Trained: [8082], Accuracy: 0.664
Fed Id: 1634887529, Round - 6, Clients Trained: [8082], Accuracy: 0.6753
