Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8087], Accuracy: 0.4767
Fed Id: 1634887529, Round - 1, Clients Trained: [8087,8085], Accuracy: 0.4868
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086,8087], Accuracy: 0.4965
Fed Id: 1634887529, Round - 2, Clients Trained: [8086,8087], Accuracy: 0.4965
Fed Id: 1634887529, Round - 0, Clients Trained: [8086,8087], Accuracy: 0.5947
Fed Id: 1634887529, Round - 1, Clients Trained: [8086,8087], Accuracy: 0.6721
Fed Id: 1634887529, Round - 0, Clients Trained: [8086,8087], Accuracy: 0.6721
Fed Id: 1634887529, Round - 1, Clients Trained: [8086,8087], Accuracy: 0.6721
Fed Id: 1634887529, Round - 0, Clients Trained: [8086,8087], Accuracy: 0.6721
Fed Id: 1634887529, Round - 1, Clients Trained: [8086,8087], Accuracy: 0.6795
Fed Id: 1634887529, Round - 2, Clients Trained: [8086,8087], Accuracy: 0.6972
Fed Id: 1634887529, Round - 3, Clients Trained: [8086,8087], Accuracy: 0.6972
Fed Id: 1634887529, Round - 4, Clients Trained: [8086,8087], Accuracy: 0.6972
Fed Id: 1634887529, Round - 0, Clients Trained: [8086,8087], Accuracy: 0.7023
Fed Id: 1634887529, Round - 1, Clients Trained: [8086,8087], Accuracy: 0.7107
Fed Id: 1634887529, Round - 0, Clients Trained: [8086,8087], Accuracy: 0.7107
Fed Id: 1634887529, Round - 1, Clients Trained: [8086,8087], Accuracy: 0.7107
Fed Id: 1634887529, Round - 0, Clients Trained: [8086,8087], Accuracy: 0.7107
Fed Id: 1634887529, Round - 1, Clients Trained: [8086,8087], Accuracy: 0.7155
Fed Id: 1634887529, Round - 2, Clients Trained: [8086,8087], Accuracy: 0.7197
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 2, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 3, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 4, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 5, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 6, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 7, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 8, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 9, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 10, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 2, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 3, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 2, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
